GENERATION_PROJECT,build_year,build_gen_predetermined
G109041,2015,300
G109042,2015,300
G106470,2019,350
G106471,2019,350
G106348,2012,300
G106349,2014,300
G106344,1995,100
G106345,1996,100
G106346,2008,600
G106347,2008,600
G114088,2007,135
G114089,2007,135
G114090,2007,135
G112778,2007,50
G112779,2007,50
G111092,2021,350
G111093,2021,350
outside_coal,2015,0
w1,2019,181.2244406
w2,2019,24.36040519
w3,2019,338.8355107
w4,2019,55.83753191
w5,2019,377.1685598
w6,2019,88.8794533
w7,2019,89.23307921
w8,2019,165.4704061
w9,2019,154.388654
w10,2019,40.19400551
w11,2019,16.56295377
s1,2019,194.7902658
s2,2019,0.11098841
s3,2019,348.9408359
s4,2019,64.46296567
s5,2019,191.9875282
s6,2019,0.111278694
s7,2019,46.94585543
s8,2019,92.49034205
s9,2019,20.31984787
s10,2019,86.18418237
s11,2019,0.112159554
