GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
G109041,2015,3729300,28923
G109042,2015,3729300,28923
G106470,2019,3729300,28923
G106471,2019,3729300,28923
G106348,2012,3729300,28923
G106349,2014,3729300,28923
G106344,1995,3729300,28923
G106345,1996,3729300,28923
G106346,2008,3729300,28923
G106347,2008,3729300,28923
G114088,2007,3729300,28923
G114089,2007,3729300,28923
G114090,2007,3729300,28923
G112778,2007,3729300,28923
G112779,2007,3729300,28923
G111092,2021,3729300,28923
G111093,2021,3729300,28923
outside_coal,2015,3729300,28923
w1,2020,537000,26850
w1,2025,537000,26850
w1,2030,537000,26850
w1,2035,537000,26850
w2,2020,537000,26850
w2,2025,537000,26850
w2,2030,537000,26850
w2,2035,537000,26850
w3,2020,537000,26850
w3,2025,537000,26850
w3,2030,537000,26850
w3,2035,537000,26850
w4,2020,537000,26850
w4,2025,537000,26850
w4,2030,537000,26850
w4,2035,537000,26850
w5,2020,537000,26850
w5,2025,537000,26850
w5,2030,537000,26850
w5,2035,537000,26850
w6,2020,537000,26850
w6,2025,537000,26850
w6,2030,537000,26850
w6,2035,537000,26850
w7,2020,537000,26850
w7,2025,537000,26850
w7,2030,537000,26850
w7,2035,537000,26850
w8,2020,537000,26850
w8,2025,537000,26850
w8,2030,537000,26850
w8,2035,537000,26850
w9,2020,537000,26850
w9,2025,537000,26850
w9,2030,537000,26850
w9,2035,537000,26850
w10,2020,537000,26850
w10,2025,537000,26850
w10,2030,537000,26850
w10,2035,537000,26850
w11,2020,537000,26850
w11,2025,537000,26850
w11,2030,537000,26850
w11,2035,537000,26850
