Max_Build_Potential_index_1,Max_Build_Potential_index_2,Relax_Max_Build_Potential_down
G106344,2020,0.0
G106344,2025,0.0
G106344,2030,0.0
G106344,2035,0.0
G106345,2020,0.0
G106345,2025,0.0
G106345,2030,0.0
G106345,2035,0.0
G106346,2020,0.0
G106346,2025,0.0
G106346,2030,0.0
G106346,2035,0.0
G106347,2020,0.0
G106347,2025,0.0
G106347,2030,0.0
G106347,2035,0.0
G106348,2020,0.0
G106348,2025,0.0
G106348,2030,0.0
G106348,2035,0.0
G106349,2020,0.0
G106349,2025,0.0
G106349,2030,0.0
G106349,2035,0.0
G106470,2020,0.0
G106470,2025,0.0
G106470,2030,0.0
G106470,2035,0.0
G106470_H2,2020,0.0
G106470_H2,2025,0.0
G106470_H2,2030,0.0
G106470_H2,2035,0.0
G106471,2020,0.0
G106471,2025,0.0
G106471,2030,0.0
G106471,2035,0.0
G109041,2020,0.0
G109041,2025,0.0
G109041,2030,0.0
G109041,2035,0.0
G109041_H2,2020,0.0
G109041_H2,2025,0.0
G109041_H2,2030,0.0
G109041_H2,2035,0.0
G109042,2020,0.0
G109042,2025,0.0
G109042,2030,0.0
G109042,2035,0.0
G109042_H2,2020,0.0
G109042_H2,2025,0.0
G109042_H2,2030,0.0
G109042_H2,2035,0.0
G111092,2020,0.0
G111092,2025,0.0
G111092,2030,0.0
G111092,2035,0.0
G111093,2020,0.0
G111093,2025,0.0
G111093,2030,0.0
G111093,2035,0.0
G112778,2020,0.0
G112778,2025,0.0
G112778,2030,0.0
G112778,2035,0.0
G112779,2020,0.0
G112779,2025,0.0
G112779,2030,0.0
G112779,2035,0.0
G114088,2020,0.0
G114088,2025,0.0
G114088,2030,0.0
G114088,2035,0.0
G114089,2020,0.0
G114089,2025,0.0
G114089,2030,0.0
G114089,2035,0.0
G114090,2020,0.0
G114090,2025,0.0
G114090,2030,0.0
G114090,2035,0.0
outside_coal_H2,2020,0.0
outside_coal_H2,2025,0.0
outside_coal_H2,2030,0.0
outside_coal_H2,2035,0.0
s1,2020,0.0
s1,2025,0.0
s1,2030,0.0
s1,2035,0.0
s10,2020,0.0
s10,2025,0.0
s10,2030,0.0
s10,2035,0.0
s11,2020,0.0
s11,2025,0.0
s11,2030,0.0
s11,2035,0.0
s2,2020,0.0
s2,2025,0.0
s2,2030,0.0
s2,2035,0.0
s3,2020,0.0
s3,2025,0.0
s3,2030,0.0
s3,2035,0.0
s4,2020,0.0
s4,2025,0.0
s4,2030,0.0
s4,2035,0.0
s5,2020,0.0
s5,2025,0.0
s5,2030,0.0
s5,2035,0.0
s6,2020,0.0
s6,2025,0.0
s6,2030,0.0
s6,2035,0.0
s7,2020,0.0
s7,2025,0.0
s7,2030,0.0
s7,2035,0.0
s8,2020,0.0
s8,2025,0.0
s8,2030,0.0
s8,2035,0.0
s9,2020,0.0
s9,2025,0.0
s9,2030,0.0
s9,2035,0.0
w1,2020,0.0
w1,2025,0.0
w1,2030,0.0
w1,2035,0.0
w10,2020,0.0
w10,2025,0.0
w10,2030,0.0
w10,2035,0.0
w11,2020,0.0
w11,2025,0.0
w11,2030,0.0
w11,2035,0.0
w2,2020,0.0
w2,2025,0.0
w2,2030,0.0
w2,2035,0.0
w3,2020,0.0
w3,2025,0.0
w3,2030,0.0
w3,2035,0.0
w4,2020,0.0
w4,2025,0.0
w4,2030,0.0
w4,2035,0.0
w5,2020,0.0
w5,2025,0.0
w5,2030,0.0
w5,2035,0.0
w6,2020,0.0
w6,2025,0.0
w6,2030,0.0
w6,2035,0.0
w7,2020,0.0
w7,2025,0.0
w7,2030,0.0
w7,2035,0.0
w8,2020,0.0
w8,2025,0.0
w8,2030,0.0
w8,2035,0.0
w9,2020,0.0
w9,2025,0.0
w9,2030,0.0
w9,2035,0.0
