GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
C-Central_PV-1,2020,0.0
C-Central_PV-1,2030,0.0
C-Central_PV-2,2020,0.0
C-Central_PV-2,2030,0.0
C-Commercial_PV,2020,0.0
C-Commercial_PV,2030,0.0
C-Residential_PV,2020,0.0
C-Residential_PV,2030,0.0
C-Wind-1,2020,4.0
C-Wind-1,2030,0.0
C-Wind-2,2020,3.0
C-Wind-2,2030,0.0
G106344,1995,100.0
G106345,1996,100.0
G106346,2008,600.0
G106347,2008,600.0
G106348,2012,300.0
G106349,2014,300.0
G106470,2019,350.0
G106471,2019,350.0
G109041,2015,300.0
G109042,2015,300.0
G111092,2021,350.0
G111093,2021,350.0
G112778,2007,50.0
G112779,2007,50.0
G114088,2007,135.0
G114089,2007,135.0
G114090,2007,135.0
N-Central_PV-1,2020,0.0
N-Central_PV-1,2030,0.0
N-Central_PV-2,2020,0.0
N-Central_PV-2,2030,0.0
N-Commercial_PV,2020,0.0
N-Commercial_PV,2030,0.0
N-Residential_PV,2020,0.0
N-Residential_PV,2030,0.0
N-Wind-1,2020,658.3131211627394
N-Wind-1,2030,3063.984160813172
N-Wind-2,2020,1.0
N-Wind-2,2030,0.0
S-Central_PV-1,2020,0.0
S-Central_PV-1,2030,0.0
S-Central_PV-2,2020,0.0
S-Central_PV-2,2030,0.0
S-Commercial_PV,2020,0.0
S-Commercial_PV,2030,0.0
S-Residential_PV,2020,0.0
S-Residential_PV,2030,0.0
outside_coal,2015,10000.0
